,t,x_earth,y_earth,x_moon,y_moon,x_geo,y_geo
206,413.13186813186815,-137311201.27880496,-60379085.81099511,-137658493.0360393,-60533320.81142333,-137344155.9671119,-60393576.791589744
207,415.1373626373626,-136248563.49251312,-62740170.11633473,-136551367.42359754,-62969756.220704794,-136281263.14775133,-62755227.75716265
208,417.1428571428571,-135145330.1853629,-65082560.86763364,-135387589.8066555,-65375324.041361436,-135177765.06460738,-65098180.68224187
209,419.14835164835165,-134001830.06783448,-67405560.14507414,-134170699.31874266,-67745976.32579666,-134033990.50705077,-67421737.47950897
210,421.15384615384613,-132818403.84798151,-69708475.80656521,-132904928.26627252,-70078494.08319409,-132850280.26490504,-69725205.84075879
211,423.15934065934067,-131595404.12991633,-71990621.69396791,-131594995.67110229,-72370621.47444336,-131626987.0269075,-72007899.44317447
212,425.16483516483515,-130333195.30875103,-74251317.83753714,-130245875.63177225,-74621149.2504976,-130364475.27562514,-74269138.15381815
213,427.1703296703297,-129032153.46202514,-76489890.65852036,-128862552.78076294,-76829943.02054039,-129063121.17885602,-76508248.2322784
214,429.1758241758242,-127692666.23765272,-78705673.16985114,-127449777.79917161,-78997914.86169577,-127723312.47754976,-78724562.5314119
215,431.18131868131866,-126315132.73842181,-80898005.17487979,-126011835.94697958,-81126939.78628847,-126345448.37027904,-80917420.69612175
216,433.1868131868132,-124899963.40308098,-83066233.4640799,-124552340.87673676,-83219721.50653943,-124929939.39429772,-83086169.36011128
217,435.1923076923077,-123447579.88404852,-85209712.00967328,-123074064.65763055,-85279614.62503162,-123477207.30322069,-85230162.3405556
218,437.1978021978022,-121958414.92177989,-87327802.1581156,-121578813.01663509,-87310412.68973848,-121987684.94136111,-87348760.83063354
219,439.2032967032967,-120432912.2158324,-89419872.82038379,-120067352.40558194,-89316113.36235878,-120461816.1147642,-89441333.58986068
220,441.2087912087912,-118871526.2926636,-91485300.66001087,-118539392.75469384,-91300673.16217892,-118900055.45897384,-91507257.13216928
221,443.2142857142857,-117274722.3702045,-93523470.27881001,-116993626.82012376,-93267764.80032977,-117302868.30357334,-93545915.91167691
222,445.2197802197802,-115642976.21924697,-95533774.40023334,-115427824.03191458,-95220549.98182684,-115670730.5335396,-95556702.5060894
223,447.22527472527474,-113976774.02168684,-97515614.05031161,-113838973.85868804,-97161479.73246384,-114004128.44745204,-97539017.79768369
224,449.2307692307692,-112276612.2256652,-99468398.73611924,-112223471.07953182,-99092132.84796615,-112303558.61259936,-99492271.1518159
225,451.2362637362637,-110542997.39765057,-101391546.62171309,-110577333.13121732,-101013101.04121248,-110569527.71702601,-101415880.59290229
226,453.24175824175825,-108776446.0715065,-103284484.70149153,-108896437.997894,-102923926.88698488,-108802552.41856366,-103309272.97781989
227,455.24725274725273,-106977484.5945895,-105146648.97092237,-107176770.02096117,-104823097.86393018,-107003159.1908922,-105171884.16667539
228,457.25274725274727,-105146648.97092244,-106977484.59458941,-105414660.58668506,-106708096.81866722,-105171884.16667546,-107003159.19089212
229,459.25824175824175,-103284484.70149162,-108776446.07150641,-103607010.92059042,-108575506.18498848,-103309272.97781998,-108802552.41856357
230,461.26373626373623,-101391546.62171322,-110542997.39765045,-101751485.16630621,-110421160.44054678,-101415880.59290244,-110569527.71702588
231,463.2692307692308,-99468398.73611933,-112276612.22566512,-99846663.50209731,-112240338.72542563,-99492271.151816,-112303558.61259928
232,465.27472527472526,-97515614.0503117,-113976774.02168676,-97892147.16720553,-114027987.41722171,-97539017.79768378,-114004128.44745196
233,467.2802197802198,-95533774.40023337,-115642976.21924694,-95888609.82001191,-115778960.86864011,-95556702.50608943,-115670730.53353955
